variant,length,mapped,unmapped,percent_of_mapped,mapped_per_mb,sample_id,replicate,filter
NC_000913.3,4641652,91945,819,23.182898940260763,19808.680185416746,SAMPLE1,1,all
NC_002695.2,5498578,20375,334,5.13732737949658,3705.503495631052,SAMPLE1,1,all
CP001509.3,4558953,284287,1777,71.67977368024265,62357.95806624898,SAMPLE1,1,all
NC_000913.3,4641652,3831,0,2.651945175134985,825.3526977033177,SAMPLE1,1,mapq30
NC_002695.2,5498578,1484,0,1.0272739858784439,269.88796012350826,SAMPLE1,1,mapq30
CP001509.3,4558953,139145,0,96.32078083898658,30521.26222841078,SAMPLE1,1,mapq30
NC_000913.3,4641652,90751,790,22.89333212245969,19551.444184096526,SAMPLE1,2,all
NC_002695.2,5498578,20015,336,5.049090835704628,3640.03202282481,SAMPLE1,2,all
CP001509.3,4558953,285642,1850,72.05757704183569,62655.17543172742,SAMPLE1,2,all
NC_000913.3,4641652,3695,0,2.540706309477969,796.0527846551186,SAMPLE1,2,mapq30
NC_002695.2,5498578,1482,0,1.0190329501072666,269.52422971902917,SAMPLE1,2,mapq30
CP001509.3,4558953,140255,0,96.44026074041476,30764.739184632963,SAMPLE1,2,mapq30
NC_000913.3,4641652,91960,779,23.191592921469876,19811.911793473533,SAMPLE1,3,all
NC_002695.2,5498578,20354,306,5.133119642492365,3701.6843263840215,SAMPLE1,3,all
CP001509.3,4558953,284209,1859,71.67528743603776,62340.84887473067,SAMPLE1,3,all
NC_000913.3,4641652,3842,0,2.6633946149793415,827.722543611628,SAMPLE1,3,mapq30
NC_002695.2,5498578,1491,0,1.0336078529240496,271.1610165391852,SAMPLE1,3,mapq30
CP001509.3,4558953,138919,0,96.30299753209661,30471.689442729505,SAMPLE1,3,mapq30
NC_000913.3,4641652,7,6,31.818181818181817,1.5080837598337835,SAMPLE2,1,all
NC_002695.2,5498578,7,5,31.818181818181817,1.273056415676926,SAMPLE2,1,all
CP001509.3,4558953,8,3,36.36363636363637,1.7547888736734072,SAMPLE2,1,all
NC_000913.3,4641652,0,0,0.0,0.0,SAMPLE2,1,mapq30
NC_002695.2,5498578,0,0,0.0,0.0,SAMPLE2,1,mapq30
CP001509.3,4558953,0,0,0.0,0.0,SAMPLE2,1,mapq30
NC_000913.3,4641652,7,4,35.0,1.5080837598337835,SAMPLE2,2,all
NC_002695.2,5498578,5,3,25.0,0.9093260111978042,SAMPLE2,2,all
CP001509.3,4558953,8,7,40.0,1.7547888736734072,SAMPLE2,2,all
NC_000913.3,4641652,0,0,0.0,0.0,SAMPLE2,2,mapq30
NC_002695.2,5498578,0,0,0.0,0.0,SAMPLE2,2,mapq30
CP001509.3,4558953,0,0,0.0,0.0,SAMPLE2,2,mapq30
NC_000913.3,4641652,5,4,22.727272727272727,1.0772026855955597,SAMPLE2,3,all
NC_002695.2,5498578,9,6,40.909090909090914,1.6367868201560476,SAMPLE2,3,all
CP001509.3,4558953,8,4,36.36363636363637,1.7547888736734072,SAMPLE2,3,all
NC_000913.3,4641652,0,0,0.0,0.0,SAMPLE2,3,mapq30
NC_002695.2,5498578,0,0,0.0,0.0,SAMPLE2,3,mapq30
CP001509.3,4558953,0,0,0.0,0.0,SAMPLE2,3,mapq30
NC_000913.3,4641652,134217,346,36.48460202298075,28915.782570515843,SAMPLE3,1,all
NC_002695.2,5498578,101442,497,27.575277337559427,18448.76984558553,SAMPLE3,1,all
CP001509.3,4558953,132214,377,35.94012063945981,29000.957017981982,SAMPLE3,1,all
NC_000913.3,4641652,38678,0,30.525061361071433,8332.809094693012,SAMPLE3,1,mapq30
NC_002695.2,5498578,48195,0,38.035972188242354,8764.993421935635,SAMPLE3,1,mapq30
CP001509.3,4558953,39836,0,31.438966450686216,8737.97119645673,SAMPLE3,1,mapq30
NC_000913.3,4641652,134762,333,36.60817124850592,29033.19766324576,SAMPLE3,2,all
NC_002695.2,5498578,101232,494,27.499728349451264,18410.578153115224,SAMPLE3,2,all
CP001509.3,4558953,132126,368,35.892100402042814,28981.654340371573,SAMPLE3,2,all
NC_000913.3,4641652,38923,0,30.70412091379528,8385.592026287193,SAMPLE3,2,mapq30
NC_002695.2,5498578,48036,0,37.892843619840974,8736.076854779545,SAMPLE3,2,mapq30
CP001509.3,4558953,39809,0,31.40303546636375,8732.048784008082,SAMPLE3,2,mapq30
NC_000913.3,4641652,134048,300,36.443417385985185,28879.373119742715,SAMPLE3,3,all
NC_002695.2,5498578,101407,466,27.5693604295521,18442.404563507145,SAMPLE3,3,all
CP001509.3,4558953,132370,386,35.987222184462716,29035.175401018612,SAMPLE3,3,all
NC_000913.3,4641652,39006,0,30.70661586421891,8403.47359086808,SAMPLE3,3,mapq30
NC_002695.2,5498578,48440,0,38.13332493623453,8809.550396484326,SAMPLE3,3,mapq30
CP001509.3,4558953,39582,0,31.16005919954656,8682.2566497176,SAMPLE3,3,mapq30
