sample_id,replicate,filter,total_reads,total_mapped,total_unmapped,mapping_rate
SAMPLE1,1,all,399751,396607,3144,0.9921351041023037
SAMPLE1,1,mapq30,144460,144460,0,1.0
SAMPLE1,2,all,399486,396408,3078,0.9922950992024752
SAMPLE1,2,mapq30,145432,145432,0,1.0
SAMPLE1,3,all,399621,396523,3098,0.9922476546527835
SAMPLE1,3,mapq30,144252,144252,0,1.0
SAMPLE2,1,all,399986,22,399964,5.500192506737736e-05
SAMPLE2,1,mapq30,0,0,0,0.0
SAMPLE2,2,all,399986,20,399966,5.000175006125215e-05
SAMPLE2,2,mapq30,0,0,0,0.0
SAMPLE2,3,all,399986,22,399964,5.500192506737736e-05
SAMPLE2,3,mapq30,0,0,0,0.0
SAMPLE3,1,all,400187,367873,32314,0.9192527493396837
SAMPLE3,1,mapq30,126709,126709,0,1.0
SAMPLE3,2,all,400232,368120,32112,0.9197665354094625
SAMPLE3,2,mapq30,126768,126768,0,1.0
SAMPLE3,3,all,400339,367825,32514,0.9187838307034788
SAMPLE3,3,mapq30,127028,127028,0,1.0
